Float,Hex,32bit_signed_integer
-1.00,0xbf800000,-1082130432
-0.90,0xbf666666,-1083808154
-0.80,0xbf4ccccd,-1085485875
-0.70,0xbf333333,-1087163597
-0.60,0xbf19999a,-1088841318
-0.50,0xbf000000,-1090519040
-0.40,0xbecccccd,-1093874483
-0.30,0xbe99999a,-1097229926
-0.20,0xbe4ccccd,-1102263091
-0.10,0xbdcccccd,-1110651699
0.00,0x00000000,0
0.10,0x3dcccccd,1036831949
0.20,0x3e4ccccd,1045220557
0.30,0x3e99999a,1050253722
0.40,0x3ecccccd,1053609165
0.50,0x3f000000,1056964608
0.60,0x3f19999a,1058642330
0.70,0x3f333333,1060320051
0.80,0x3f4ccccd,1061997773
0.90,0x3f666666,1063675494
1.00,0x3f800000,1065353216
